fdcId,name,name_norm,label,gram_weight,kcal_per_portion,measure_unit,amount,modifier,category
321358,"Hummus, commercial",hummus commercial,2.0 tablespoon,33.9,77.63,tablespoon,2.0,,Legumes and Legume Products
321360,"Tomatoes, grape, raw",tomatoes grape raw,5.0 tomatoes,49.7,13.42,tomatoes,5.0,,Vegetables and Vegetable Products
321360,"Tomatoes, grape, raw",tomatoes grape raw,1.0 cup,152.0,41.04,cup,1.0,,Vegetables and Vegetable Products
321611,"Beans, snap, green, canned, regular pack, drained solids",beans snap green canned regular pack drained solids,1.0 cup drained,129.0,27.09,cup,1.0,drained,Vegetables and Vegetable Products
323121,"Frankfurter, beef, unheated",frankfurter beef unheated,1.0 piece,48.6,152.6,piece,1.0,,Sausages and Luncheon Meats
323294,"Nuts, almonds, dry roasted, with salt added",nuts almonds dry roasted with salt added,1.0 cup whole,135.0,837.0,cup,1.0,whole,Nut and Seed Products
323505,"Kale, raw",kale raw,"1.0 cup pieces of ~1""",20.6,7.21,cup,1.0,"pieces of ~1""",Vegetables and Vegetable Products
323604,"Egg, whole, raw, frozen, pasteurized",egg whole raw frozen pasteurized,1.0 oz,28.4,42.6,oz,1.0,,Dairy and Egg Products
323697,"Egg, white, raw, frozen, pasteurized",egg white raw frozen pasteurized,1.0 oz,28.4,13.63,oz,1.0,,Dairy and Egg Products
323793,"Egg, white, dried",egg white dried,1.0 tablespoon,7.0,26.32,tablespoon,1.0,,Dairy and Egg Products
323793,"Egg, white, dried",egg white dried,1.0 cup sifted,107.0,402.32,cup,1.0,sifted,Dairy and Egg Products
324317,"Onion rings, breaded, par fried, frozen, prepared, heated in oven",onion rings breaded par fried frozen prepared heated in oven,1.0 piece,20.2,58.18,piece,1.0,,Vegetables and Vegetable Products
324653,"Pickles, cucumber, dill or kosher dill",pickles cucumber dill or kosher dill,1.0 spear,40.4,4.85,spear,1.0,,Vegetables and Vegetable Products
325036,"Cheese, parmesan, grated",cheese parmesan grated,1.0 tablespoon,7.6,32.0,tablespoon,1.0,,Dairy and Egg Products
325198,"Cheese, pasteurized process, American, vitamin D fortified",cheese pasteurized process american vitamin d fortified,1.0 slice,20.6,75.4,slice,1.0,,Dairy and Egg Products
325287,"Grapefruit juice, white, canned or bottled, unsweetened",grapefruit juice white canned or bottled unsweetened,1.0 cup,257.0,95.09,cup,1.0,,Fruits and Fruit Juices
325430,"Peaches, yellow, raw",peaches yellow raw,"1.0 fruit small (2-1/2"" dia)",147.0,61.74,fruit,1.0,"small (2-1/2"" dia)",Fruits and Fruit Juices
325430,"Peaches, yellow, raw",peaches yellow raw,1.0 cup slices with skin,154.0,64.68,cup,1.0,slices with skin,Fruits and Fruit Juices
325430,"Peaches, yellow, raw",peaches yellow raw,"1.0 fruit large (2-3/4"" dia)",173.0,72.66,fruit,1.0,"large (2-3/4"" dia)",Fruits and Fruit Juices
325430,"Peaches, yellow, raw",peaches yellow raw,"1.0 fruit extra large (3"" dia)",225.0,94.5,fruit,1.0,"extra large (3"" dia)",Fruits and Fruit Juices
325430,"Peaches, yellow, raw",peaches yellow raw,"1.0 fruit medium (2-2/3"" dia)",161.0,67.62,fruit,1.0,"medium (2-2/3"" dia)",Fruits and Fruit Juices
325430,"Peaches, yellow, raw",peaches yellow raw,1.0 serving NLEA,147.0,61.74,serving,1.0,nlea ,Fruits and Fruit Juices
325524,"Seeds, sunflower seed kernels, dry roasted, with salt added",seeds sunflower seed kernels dry roasted with salt added,1.0 cup,127.0,777.24,cup,1.0,,Nut and Seed Products
325871,"Bread, white, commercially prepared",bread white commercially prepared,1.0 slice,27.3,73.71,slice,1.0,,Baked Products
326196,"Kale, frozen, cooked, boiled, drained, without salt",kale frozen cooked boiled drained without salt,1.0 cup cooked,118.0,42.48,cup,1.0,cooked,Vegetables and Vegetable Products
326698,"Mustard, prepared, yellow",mustard prepared yellow,1.0 cup,249.0,151.89,cup,1.0,,Spices and Herbs
326698,"Mustard, prepared, yellow",mustard prepared yellow,1.0 teaspoon,6.0,3.66,teaspoon,1.0,,Spices and Herbs
327357,"Nectarines, raw",nectarines raw,"1.0 each 2-1/3"" dia",129.0,50.31,each,1.0,"2-1/3"" dia",Fruits and Fruit Juices
327357,"Nectarines, raw",nectarines raw,"1.0 each 2-3/4"" dia",156.0,60.84,each,1.0,"2-3/4"" dia",Fruits and Fruit Juices
327357,"Nectarines, raw",nectarines raw,"1.0 each  2-1/2"" dia",142.0,55.38,each,1.0," 2-1/2"" dia",Fruits and Fruit Juices
327357,"Nectarines, raw",nectarines raw,1.0 serving NLEA,140.0,54.6,serving,1.0,nlea,Fruits and Fruit Juices
327357,"Nectarines, raw",nectarines raw,1.0 cup  slices,143.0,55.77,cup,1.0, slices,Fruits and Fruit Juices
